shot_ID,tag,val,val_str
249,shot_quality,2,NULL
249,is_right_handed,0,NULL
249,is_off_dodge,0,NULL
249,is_transition,0,NULL
250,field_loc_x,0.398853,NULL
250,field_loc_y,0.711563,NULL
250,goal_loc_x,0.199416,NULL
250,goal_loc_y,0.446562,NULL
250,def_scheme,NULL,man
250,is_transition,0,NULL
250,is_off_dodge,1,NULL
250,is_right_handed,1,NULL
250,shot_quality,3,NULL
250,clean_save,0,NULL
251,goal_loc_x,0.859298,NULL
251,goal_loc_y,0.236563,NULL
251,field_loc_x,0.669121,NULL
251,field_loc_y,0.601562,NULL
251,def_scheme,NULL,zone
251,is_transition,0,NULL
251,is_off_dodge,0,NULL
251,is_right_handed,0,NULL
251,shot_quality,2,NULL
252,field_loc_x,0.365449,NULL
252,field_loc_y,0.646563,NULL
252,def_scheme,NULL,zone
252,is_transition,0,NULL
252,is_off_dodge,0,NULL
252,is_right_handed,1,NULL
252,shot_quality,1,NULL
252,clean_save,0,NULL
252,goal_loc_x,0.429152,NULL
252,goal_loc_y,0.181562,NULL
253,field_loc_x,0.562836,NULL
253,field_loc_y,0.731562,NULL
253,goal_loc_x,0.683329,NULL
253,goal_loc_y,0.396562,NULL
253,def_scheme,NULL,zone
253,is_transition,0,NULL
253,is_off_dodge,0,NULL
253,is_right_handed,0,NULL
253,shot_quality,1,NULL
254,field_loc_x,0.562836,NULL
254,field_loc_y,0.716563,NULL
254,goal_loc_x,0.585569,NULL
254,goal_loc_y,0.201562,NULL
254,def_scheme,NULL,zone
254,is_transition,0,NULL
254,is_off_dodge,0,NULL
254,is_right_handed,0,NULL
254,shot_quality,1,NULL
254,clean_save,0,NULL
256,field_loc_x,0.411,NULL
256,field_loc_y,0.661563,NULL
256,goal_loc_x,0.468257,NULL
256,goal_loc_y,0.646563,NULL
256,def_scheme,NULL,zone
256,is_transition,0,NULL
256,is_off_dodge,0,NULL
256,is_right_handed,1,NULL
256,shot_quality,1,NULL
256,clean_save,0,NULL
257,field_loc_x,0.350266,NULL
257,field_loc_y,0.471563,NULL
257,goal_loc_x,0.404712,NULL
257,goal_loc_y,0.306563,NULL
257,def_scheme,NULL,zone
257,is_transition,0,NULL
257,is_off_dodge,0,NULL
257,is_right_handed,1,NULL
257,shot_quality,2,NULL
257,clean_save,0,NULL
258,field_loc_x,0.581056,NULL
258,field_loc_y,0.731562,NULL
258,goal_loc_x,0.0478873,NULL
258,goal_loc_y,0.346563,NULL
258,def_scheme,NULL,man
258,is_transition,0,NULL
258,is_off_dodge,1,NULL
258,is_right_handed,1,NULL
258,shot_quality,3,NULL
259,field_loc_x,0.593203,NULL
259,field_loc_y,0.556562,NULL
259,goal_loc_x,0.688217,NULL
259,goal_loc_y,0.366562,NULL
259,def_scheme,NULL,zone
259,is_transition,0,NULL
259,is_off_dodge,1,NULL
259,is_right_handed,0,NULL
259,shot_quality,2,NULL
261,field_loc_x,0.538542,NULL
261,field_loc_y,0.281563,NULL
261,goal_loc_x,0.702881,NULL
261,goal_loc_y,0.336563,NULL
261,def_scheme,NULL,zone
261,is_transition,0,NULL
261,is_off_dodge,0,NULL
261,is_right_handed,1,NULL
261,shot_quality,3,NULL
262,field_loc_x,0.553726,NULL
262,field_loc_y,0.326562,NULL
262,goal_loc_x,0.702881,NULL
262,goal_loc_y,0.186562,NULL
262,def_scheme,NULL,zone
262,is_transition,0,NULL
262,is_off_dodge,0,NULL
262,is_right_handed,1,NULL
262,shot_quality,3,NULL
263,field_loc_x,0.265238,NULL
263,field_loc_y,0.436563,NULL
263,goal_loc_x,0.85441,NULL
263,goal_loc_y,0.196562,NULL
263,def_scheme,NULL,zone
263,is_transition,0,NULL
263,is_off_dodge,0,NULL
263,is_right_handed,1,NULL
263,shot_quality,3,NULL
264,field_loc_x,0.268275,NULL
264,field_loc_y,0.516563,NULL
264,goal_loc_x,0.92773,NULL
264,goal_loc_y,0.816562,NULL
264,def_scheme,NULL,zone
264,is_transition,0,NULL
264,is_off_dodge,0,NULL
264,is_right_handed,1,NULL
264,shot_quality,3,NULL
265,field_loc_x,0.353303,NULL
265,field_loc_y,0.611562,NULL
265,goal_loc_x,0.36072,NULL
265,goal_loc_y,0.306563,NULL
265,def_scheme,NULL,zone
265,is_off_dodge,0,NULL
265,is_transition,0,NULL
265,is_right_handed,1,NULL
265,shot_quality,2,NULL
265,clean_save,0,NULL
266,field_loc_x,0.690378,NULL
266,field_loc_y,0.516563,NULL
266,goal_loc_x,0.556241,NULL
266,goal_loc_y,0.166562,NULL
266,def_scheme,NULL,man
266,is_transition,0,NULL
266,is_off_dodge,0,NULL
266,is_right_handed,0,NULL
266,shot_quality,2,NULL
266,clean_save,0,NULL
267,field_loc_x,0.593203,NULL
267,field_loc_y,0.711563,NULL
267,goal_loc_x,0.756649,NULL
267,goal_loc_y,0.501562,NULL
267,def_scheme,NULL,man
267,is_transition,0,NULL
267,is_off_dodge,1,NULL
267,is_right_handed,0,NULL
267,shot_quality,1,NULL
267,clean_save,0,NULL
268,field_loc_x,0.441367,NULL
268,field_loc_y,0.701563,NULL
268,goal_loc_x,0.33628,NULL
268,goal_loc_y,0.586563,NULL
268,def_scheme,NULL,man
268,is_transition,0,NULL
268,is_off_dodge,1,NULL
268,is_right_handed,1,NULL
268,shot_quality,1,NULL
268,clean_save,1,NULL
269,field_loc_x,0.371523,NULL
269,field_loc_y,0.531563,NULL
269,goal_loc_x,0.31184,NULL
269,goal_loc_y,0.441563,NULL
269,def_scheme,NULL,man
269,is_transition,0,NULL
269,is_off_dodge,1,NULL
269,is_right_handed,0,NULL
269,shot_quality,2,NULL
269,clean_save,0,NULL
270,field_loc_x,0.341156,NULL
